"Payment methods","Métodos de pago"
"Cart Subtotal","Subtotal"
"My Addresses","Mis direcciones"
"Edit address","Modificar dirección"
"Edit account information","Le mie opinioni sui prodotti"
"My product Reviews","Mis reseñas de productos"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"Show Password","Mostrar contraseña"
"Thank you for placing your order","Gracias por realizar el pedido"
"Your order # is: <span>%1</span>.","Tu número de pedido es: <span>%1</span>."
"Your order # is: %1.","Tu número de pedido es: %1"
"reviews","valoraciones"
"Add Review","Añadir valoración"
"Price - Ascending","Precio - Ascendente"
"Price - Descending","Precio - Descendente"
"Position - Ascending","Posición - Ascendente"
"Save Billing Address","Guardar la dirección de facturación"
"My account","Mi cuenta"
"Edit address","Modificar dirección"
"Edit account information","Modificar la información de la cuenta"
"My orders","Mis pedidos"
"My product Reviews","Mis reseñas de productos"
"Order details","Detalles del pedido"
"Password reset","Restablecer contraseña"
"Delivery","Envío"
"Card Holder","Titular de la tarjeta"
"Expiry Date","Fecha de expiración"
"Verification Code","CVC"
"The password doesn't match this account. Verify the password and try again.","La contraseña no coincide con esta cuenta. Verifica la contraseña e inténtalo de nuevo."
"Recommended products","Podría ser útil"
"Please select and accept your Cookies Group","Por favor, selecciona y acepta el Grupo de Cookies"
"You saved your cookie settings!","Has guardado la configuración de las cookies."
"My Addresses","Mis direcciones"
"More filters","Más filtros"
"Less filters","Menos filtros"
"Comment","Comentario"
"Order ID","Solicitar ID"
"Order success","Pedido realizado con éxito"
"Your rating","Tu valoración"
"0 ratings yet","0 valoraciones aún"
"review","revisión"
"reviews","revisiones"
"You might like...","Puede que te guste..."
"Go to %1","Ir a %1"
"Do not forget about street number","No te olvides del número de la calle"
"Show all products","Mostrar todos los productos"
"New user","Nuevo cliente"
"I have an account","Tengo una cuenta"
